ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths
8/28/2020,Abruzzo,Italy,4/2/2021 15:13,3725,472
8/28/2020,Acre,Brazil,4/2/2021 15:13,24462,608
8/28/2020,Adygea Republic,Russia,4/2/2021 15:13,3327,27
8/28/2020,Aguascalientes,Mexico,4/2/2021 15:13,5471,398
8/28/2020,Aichi,Japan,4/2/2021 15:13,4417,61
8/28/2020,Akita,Japan,4/2/2021 15:13,48,0
8/28/2020,Alabama,US,4/2/2021 15:13,122879,2107
8/28/2020,Alagoas,Brazil,4/2/2021 15:13,78174,1861
8/28/2020,Alaska,US,4/2/2021 15:13,5140,37
8/28/2020,Alberta,Canada,4/2/2021 15:13,13476,237
8/28/2020,Altai Krai,Russia,4/2/2021 15:13,11523,114
8/28/2020,Altai Republic,Russia,4/2/2021 15:13,2086,8
8/28/2020,Amapa,Brazil,4/2/2021 15:13,42625,657
8/28/2020,Amazonas,Brazil,4/2/2021 15:13,118844,3629
8/28/2020,Amazonas,Colombia,4/2/2021 15:13,2696,108
8/28/2020,Amazonas,Peru,4/2/2021 15:13,10120,190
8/28/2020,Amur Oblast,Russia,4/2/2021 15:13,3299,47
8/28/2020,Ancash,Peru,4/2/2021 15:13,17595,1148
8/28/2020,Andalusia,Spain,4/2/2021 15:13,27734,1480
8/28/2020,Andaman and Nicobar Islands,India,4/2/2021 15:13,3050,42
8/28/2020,Andhra Pradesh,India,4/2/2021 15:13,403616,3714
8/28/2020,Anguilla,UK,4/2/2021 15:13,3,0
8/28/2020,Anhui,Mainland China,4/2/2021 15:13,991,6
8/28/2020,Antioquia,Colombia,4/2/2021 15:13,77709,1603
8/28/2020,Antofagasta,Chile,4/2/2021 15:13,17857,437
8/28/2020,Aomori,Japan,4/2/2021 15:13,38,1
8/28/2020,Apurimac,Peru,4/2/2021 15:13,2539,61
8/28/2020,Aragon,Spain,4/2/2021 15:13,25562,1096
8/28/2020,Arauca,Colombia,4/2/2021 15:13,898,14
8/28/2020,Araucania,Chile,4/2/2021 15:13,5046,94
